episode,random_reward,random_win,trained_reward,trained_win
0,2.78836363636364,282,-15.735272727272594,104
5000,4.221818181818185,287,-12.106909090908978,129
10000,13.876363636363585,383,-5.5156363636363634,196
15000,17.637818181818176,384,0.290181818181819,248
20000,19.021090909090876,421,1.645090909090912,269
25000,21.144000000000144,436,4.522909090909103,291
30000,22.18036363636387,441,5.766545454545449,316
35000,24.346909090909254,463,6.279272727272714,320
40000,24.048000000000265,448,8.007272727272731,338
45000,24.078545454545676,445,8.587636363636344,334
50000,24.1265454545457,437,6.010909090909091,323
55000,25.88945454545481,458,7.669090909090932,327
60000,23.923636363636547,446,7.963636363636365,335
65000,23.391272727272924,438,6.408000000000002,326
70000,23.269090909090977,438,7.950545454545444,339
75000,24.54763636363668,452,8.690181818181811,344
80000,24.724363636363883,449,6.920727272727299,328
85000,24.70690909090937,446,8.26254545454546,336
90000,22.503272727272904,435,6.591272727272749,317
95000,24.65236363636391,440,7.824000000000013,333
100000,24.811636363636566,454,8.452363636363627,342
105000,24.436363636363833,457,6.309818181818198,319
110000,24.00654545454572,446,7.906909090909084,335
115000,24.77890909090941,462,9.89236363636365,366
120000,23.50909090909116,446,8.005090909090907,337
125000,24.209454545454776,449,8.011636363636375,337
130000,23.314909090909307,444,7.420363636363656,341
135000,23.810181818182034,444,6.7112727272727435,322
140000,25.394181818182144,464,7.158545454545475,334
145000,23.376000000000076,446,7.618909090909102,335
150000,22.64072727272742,437,5.727272727272697,303
155000,23.73600000000016,456,7.176000000000007,327
160000,25.944000000000216,458,6.2792727272727475,319
165000,22.710545454545628,455,6.713454545454553,324
170000,24.770181818182078,450,8.500363636363605,348
175000,24.31418181818195,441,6.842181818181804,320
180000,23.995636363636596,459,7.5621818181818385,336
185000,25.14327272727292,451,7.647272727272718,334
190000,23.882181818182158,444,7.051636363636375,332
195000,24.99709090909121,445,6.691636363636358,320
200000,24.589090909091144,447,7.525090909090918,339
205000,23.86036363636396,450,7.887272727272717,330
210000,23.19709090909112,450,6.486545454545436,318
215000,22.926545454545746,435,6.922909090909082,325
220000,24.16145454545489,452,5.517818181818189,305
225000,23.517818181818463,443,7.900363636363626,322
230000,23.88436363636381,450,6.7309090909090745,320
235000,25.961454545454835,456,6.613090909090908,309
240000,25.891636363636714,448,7.056000000000017,342
245000,24.990545454545668,451,8.393454545454542,339
250000,23.82545454545472,448,7.367999999999978,326
255000,25.239272727273075,445,7.607999999999994,338
260000,24.373090909091147,448,6.565090909090872,330
265000,24.390545454545745,449,7.751999999999987,338
270000,24.39927272727289,445,6.925090909090885,332
275000,25.8000000000003,453,6.434181818181835,320
280000,23.061818181818403,448,7.799999999999992,331
285000,24.765818181818467,442,8.190545454545468,348
290000,24.414545454545667,448,8.823272727272695,352
295000,24.19854545454574,449,7.4421818181818,330
300000,24.102545454545677,449,7.854545454545454,337
305000,24.556363636363844,444,7.631999999999983,341
310000,24.331636363636687,445,7.472727272727277,337
315000,24.65454545454575,458,8.077090909090892,352
320000,25.234909090909504,457,7.071272727272736,331
325000,24.056727272727503,445,7.339636363636362,326
330000,25.601454545454864,452,8.79054545454546,348
335000,23.790545454545608,449,6.763636363636378,318
340000,24.445090909091213,457,7.498909090909087,332
345000,24.580363636363845,449,6.942545454545416,332
350000,24.70036363636386,452,7.941818181818151,337
355000,24.949090909091197,446,7.123636363636363,332
360000,23.077090909091012,453,7.553454545454535,328
365000,24.253090909091053,451,6.2225454545454815,322
370000,25.038545454545797,449,7.175999999999999,332
375000,23.7883636363639,437,6.748363636363653,328
380000,23.910545454545698,442,8.362909090909074,335
385000,24.571636363636728,451,7.23490909090907,337
390000,24.628363636363975,453,6.713454545454524,316
395000,24.658909090909344,443,6.709090909090905,320
400000,23.653090909091095,455,6.495272727272739,331
405000,25.378909090909332,456,6.787636363636358,320
410000,24.600000000000264,448,8.535272727272671,346
415000,23.356363636363845,443,7.738909090909099,335
420000,25.213090909091157,447,8.548363636363627,355
425000,24.739636363636677,450,7.217454545454559,339
430000,24.628363636363837,455,7.937454545454515,339
435000,25.490181818182105,466,6.549818181818182,330
440000,23.561454545454694,447,7.200000000000028,321
445000,24.656727272727608,458,7.6036363636363555,345
450000,24.037090909091173,440,7.771636363636366,322
455000,24.613090909091156,449,6.1047272727272714,317
460000,24.080727272727525,451,7.289454545454545,335
465000,23.249454545454824,442,7.562181818181816,338
470000,22.76290909090922,439,6.272727272727252,323
475000,23.360727272727534,444,6.983999999999976,332
480000,23.683636363636598,440,6.715636363636359,325
485000,23.443636363636525,446,7.933090909090921,337
490000,23.328000000000177,443,8.319272727272708,344
495000,23.42400000000018,437,7.481454545454564,329
